country,date,R_mean,R_low,R_high,P_R_gt_1
South Korea,2022-02-21,1.494039315257871,1.1372996318213455,1.9256398448806369,0.989
South Korea,2022-02-28,1.4442185941557255,1.1092922769296454,1.8593312498621084,0.99
South Korea,2022-03-07,1.3524015882500269,1.0347300937141266,1.7405732558251177,0.968
South Korea,2022-03-14,1.2647452509490245,0.966466825286261,1.5964486929142043,0.931
South Korea,2022-03-21,1.1593958185691944,0.8978360363701444,1.493727190583625,0.804
South Korea,2022-03-28,1.0505479670470776,0.7948925380244518,1.342267420119407,0.573
South Korea,2022-04-04,0.9659472729750773,0.7251951464435362,1.2518816323336195,0.393
South Korea,2022-04-11,0.8851699458218919,0.6788974587952671,1.1288583437478752,0.2
South Korea,2022-04-18,0.8440678737828415,0.6484757987794102,1.0741448933619129,0.122
South Korea,2022-04-25,0.8051591245225495,0.618192848202006,1.0291389376225923,0.073
South Korea,2022-05-02,0.8091846874576126,0.6214696335857867,1.0175419615306025,0.065
South Korea,2022-05-09,0.8286054006228025,0.6194930809534934,1.071190926930506,0.104
South Korea,2022-05-16,0.8645768989402896,0.6505766884401273,1.1103756110495764,0.171
South Korea,2022-05-23,0.9093907216253672,0.6828284206893838,1.1782251245505133,0.236
Spain,2020-01-20,1.140415338105586,0.8833601809849275,1.459609390566709,0.764
Spain,2020-01-27,1.162902852947027,0.8887821025782822,1.4822557300253139,0.818
Spain,2020-02-03,1.2043453891220666,0.9101852080478018,1.546274273435603,0.863
Spain,2020-02-10,1.2759112830665682,0.9673774930309317,1.6218630282191777,0.93
Spain,2020-02-17,1.3704898342071308,1.0532837737767062,1.7597113240316011,0.975
Spain,2020-02-24,1.534488063704923,1.159735836062477,1.9941318898446796,0.996
Spain,2020-03-02,1.8962992697154104,1.4511704400253675,2.3942274778646158,1.0
Spain,2020-03-09,2.199504588032208,1.6688741967811525,2.794361403602141,1.0
Spain,2020-03-16,2.3234898430632436,1.7864378958296216,2.94068449677492,1.0
Spain,2020-03-23,2.106796018442335,1.623018769771902,2.703805435130767,1.0
Spain,2020-03-30,1.781454235885315,1.3637171263410408,2.2907224806204205,1.0
Spain,2020-04-06,1.4560831941999772,1.101115365782626,1.846943833552578,0.991
Spain,2020-04-13,1.1962227831446701,0.914806145259051,1.5343263506327058,0.856
Spain,2020-04-20,1.0370303502607658,0.7936553953029603,1.3254766608813455,0.554
Spain,2020-04-27,0.936770830680216,0.7204063713803469,1.1936286604718362,0.318
Spain,2020-05-04,0.8804917887811955,0.6613670121443638,1.125484486947535,0.204
Spain,2020-05-11,0.8539016073771933,0.6554077888816258,1.1005912426515598,0.142
Spain,2020-05-18,0.8530285696967465,0.658111261453862,1.0792889474343952,0.134
Spain,2020-05-25,0.8852939610723232,0.6763346660708731,1.1271486319143076,0.194
Spain,2020-06-01,0.8899082447765835,0.6671650544970897,1.1565304236965404,0.219
Spain,2020-06-08,0.9180789668475671,0.7062474370012438,1.1706015167524353,0.275
Spain,2020-06-15,0.949428122074284,0.7276228917320376,1.2101148490218576,0.359
Spain,2020-06-22,0.9854557545667526,0.7503894053821485,1.2880646847091746,0.429
Spain,2020-06-29,1.0581645998911589,0.8023761580661523,1.342778037227032,0.604
Spain,2020-07-06,1.1419249079423905,0.8720009724746778,1.4634343851836682,0.777
Spain,2020-07-13,1.2281444365227558,0.9459458357968608,1.5699179857762533,0.904
Spain,2020-07-20,1.3291107251000498,1.011717227326587,1.7033714748878561,0.957
Spain,2020-07-27,1.3486206111964305,1.0116419677166806,1.7540698710170815,0.956
Spain,2020-08-03,1.3641056285763746,1.0248014573714028,1.7514116346706414,0.966
Spain,2020-08-10,1.333240430798199,1.0171067805840244,1.704638208704312,0.963
Spain,2020-08-17,1.3035259045435144,0.9986060204559737,1.6538523744201992,0.949
Spain,2020-08-24,1.2934533897507818,0.9865601536747197,1.6449878225562269,0.939
Spain,2020-08-31,1.2401160315336093,0.9456588026308601,1.590805021877036,0.902
Spain,2020-09-07,1.2113746768984361,0.9182062148879442,1.5546660023718073,0.872
Spain,2020-09-14,1.1675778430200459,0.8899067337897516,1.4835758161179997,0.818
Spain,2020-09-21,1.1441860511074724,0.8648224543520906,1.4765698427495197,0.802
Spain,2020-09-28,1.1095939673570192,0.8532161841081463,1.418694034065142,0.726
Spain,2020-10-05,1.0900088722599726,0.8305322986450173,1.4088994939254305,0.676
Spain,2020-10-12,1.0903869214514044,0.8363002647336892,1.3902783333111743,0.692
Spain,2020-10-19,1.0997493488558043,0.8267819346482425,1.392129920878904,0.702
Spain,2020-10-26,1.1038112257540094,0.8155150286711462,1.4414386621728323,0.709
Spain,2020-11-02,1.086608963551727,0.8201170297843156,1.4123705595767682,0.656
Spain,2020-11-09,1.0405022485218534,0.8009570866783502,1.342864691989022,0.551
Spain,2020-11-16,1.0029039832527882,0.752090418822332,1.298814573261211,0.48
Spain,2020-11-23,0.9813769555915228,0.7579592837831873,1.2546176403437759,0.415
Spain,2020-11-30,0.971958472619402,0.7420041359369757,1.249158502272249,0.39
Spain,2020-12-07,0.9223764443442234,0.7046540392083421,1.172659245360211,0.276
Spain,2020-12-14,0.9601968486814448,0.732554103761392,1.2274060785215564,0.367
Spain,2020-12-21,1.0092615718343592,0.7719466955302442,1.2956718362241715,0.499
Spain,2020-12-28,1.0478397069207286,0.7997043148167378,1.326819685105043,0.589
Spain,2021-01-04,1.1184292392424706,0.8518651276094652,1.4240763798348515,0.734
Spain,2021-01-11,1.1545854150333457,0.8779931405231381,1.4815098277612235,0.782
Spain,2021-01-18,1.1288531737056537,0.8567903420593086,1.4354160904396254,0.765
Spain,2021-01-25,1.0882228033412993,0.8442722886197206,1.3979737349542636,0.684
Spain,2021-02-01,1.0035001221604267,0.7687309978396157,1.3034744625498798,0.462
Spain,2021-02-08,0.9329517187042107,0.6946834536878103,1.2074617960640495,0.303
Spain,2021-02-15,0.8905089375288738,0.6559947246282664,1.1645728711033754,0.216
Spain,2021-02-22,0.8758479909462645,0.66832725708775,1.1048925363733104,0.174
Spain,2021-03-01,0.8224461887037917,0.6276592192795757,1.061726384153591,0.095
Spain,2021-03-08,0.8666963109037572,0.663399320019026,1.1075108196703227,0.162
Spain,2021-03-15,0.8892296487614925,0.6851071157266334,1.1341349835867347,0.191
Spain,2021-03-22,0.9371450863454922,0.7113252602651225,1.2019349887105129,0.31
Spain,2021-03-29,0.9864654229420279,0.7611459997577847,1.2397163741785975,0.446
Spain,2021-04-05,1.0151510827328825,0.7770662870227367,1.2853417337656756,0.509
Spain,2021-04-12,1.0276097060149643,0.7957959193034387,1.3091223670138357,0.537
Spain,2021-04-19,1.0404066362117903,0.7923285462306721,1.3426692790828842,0.56
Spain,2021-04-26,1.0164966968208695,0.7724390549538327,1.2969975542421686,0.504
Spain,2021-05-03,0.9881568005414718,0.756905983756657,1.2486924875894891,0.446
