country,date,log_cases,continent,pc1,pc2,time_block
Afghanistan,2020-06-22,4.6951000450628095,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-06-29,4.2636396205654785,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-07-06,3.920957065597708,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-07-13,3.796022357125257,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-07-20,3.4323325782813834,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-07-27,3.054690260246524,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-08-03,2.8579962768143705,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-08-10,2.3115336747393247,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-08-17,2.5846254232046464,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-08-24,2.31292833674584,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-08-31,2.2756576281557024,Asia,-2.016303326294932,-0.23335565058185978,2020_summer
Afghanistan,2020-09-07,1.6135079525724374,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-09-14,2.174109424346419,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-09-21,2.113461065771498,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-09-28,2.0534225135391737,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-10-05,1.4139355467832482,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-10-12,2.2052443042982706,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-10-19,2.436961463524166,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-10-26,2.678823347359666,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-11-02,2.835523661451843,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-11-09,2.8517139995873992,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-11-16,3.1172452819826435,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-11-23,3.5243172120034787,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-11-30,3.657770107499525,Asia,-2.016303326294932,-0.23335565058185978,2020_fall
Afghanistan,2020-12-07,3.672282000257104,Asia,-2.016303326294932,-0.23335565058185978,2020_winter
Afghanistan,2020-12-14,3.633229670836067,Asia,-2.016303326294932,-0.23335565058185978,2020_winter
Afghanistan,2020-12-21,3.602714033747535,Asia,-2.016303326294932,-0.23335565058185978,2020_winter
Afghanistan,2020-12-28,3.543737183948557,Asia,-2.016303326294932,-0.23335565058185978,2020_winter
Afghanistan,2021-01-04,3.2435988174848993,Asia,-2.016303326294932,-0.23335565058185978,2021_winter
Afghanistan,2021-01-11,3.023680284021127,Asia,-2.016303326294932,-0.23335565058185978,2021_winter
Afghanistan,2021-01-18,2.661270683228095,Asia,-2.016303326294932,-0.23335565058185978,2021_winter
Afghanistan,2021-01-25,2.773956586287052,Asia,-2.016303326294932,-0.23335565058185978,2021_winter
Afghanistan,2021-02-01,2.5607095359535945,Asia,-2.016303326294932,-0.23335565058185978,2021_winter
Afghanistan,2021-02-08,2.2044679252827084,Asia,-2.016303326294932,-0.23335565058185978,2021_winter
Afghanistan,2021-02-15,1.7280091120743002,Asia,-2.016303326294932,-0.23335565058185978,2021_winter
Afghanistan,2021-02-22,1.3940481997661047,Asia,-2.016303326294932,-0.23335565058185978,2021_winter
Afghanistan,2021-03-01,1.3835130343139528,Asia,-2.016303326294932,-0.23335565058185978,2021_spring
Afghanistan,2021-03-08,1.3879161777640143,Asia,-2.016303326294932,-0.23335565058185978,2021_spring
Afghanistan,2021-03-15,1.41136387584446,Asia,-2.016303326294932,-0.23335565058185978,2021_spring
